Train Number,Train Name,Source,Destination,Pantry,Days
12601,1 Mail,Chennai,Mangalore,N,7
12602,2 Mail,Mangalore,Chennai,N,7
12621,Tamilnadu Express,Chennai,New Delhi,Y,7
12622,Tamilnadu Express,New Delhi,Chennai,Y,7
12661,Pothigai Express,Chennai,Sengottai,N,7
12662,Pothigai Express,Sengottai,Chennai,N,7
