Train Number,Train Name,Source,Destination,Pantry,Days
12627,Karnataka Express,Bangalore,New Delhi,Y,7
12628,Karnataka Express,New Delhi,Bangalore,Y,7
12657,Bangalore Mail,Chennai,Bangalore,N,7
12658,Chennai Mail,Bangalore,Chennai,N,7
