Train Number,Train Name,Source,Destination,Pantry,Days
12723,Telangana Express,Hyderabad,New Delhi,Y,7
12724,Telangana Express,New Delhi,Hyderabad,Y,7
12711,Pinakini Express,Vijayawada,Chennai,Y,7
12712,Pinakini Express,Chennai,Vijayawada,Y,7
